latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
50.301888,33.843021,311.75,0.48,0.48,3/3/2021,30,N,VIIRS,n,1,270.66,1.03,N,0
47.882664,33.446957,302.11,0.54,0.51,3/3/2021,30,N,VIIRS,n,1,273.18,1.74,N,2
47.885303,33.447609,299.54,0.55,0.51,3/3/2021,30,N,VIIRS,n,1,272.63,1.53,N,2
47.85957,33.448486,340.09,0.55,0.51,3/3/2021,30,N,VIIRS,n,1,273.7,9.75,N,0
47.845825,33.384525,297.04,0.54,0.51,3/3/2021,30,N,VIIRS,n,1,272.59,0.87,N,3
48.167633,30.622019,308.02,0.41,0.45,3/3/2021,30,N,VIIRS,n,1,272.57,1.9,N,2
48.163689,30.619987,295.26,0.41,0.45,3/3/2021,30,N,VIIRS,n,1,275.41,1.89,N,0
48.977367,24.711636,303.64,0.4,0.37,3/3/2021,30,N,VIIRS,n,1,277,1.7,N,2
48.182716,23.103073,297.92,0.39,0.36,3/3/2021,30,N,VIIRS,n,1,271.94,0.59,N,0
47.839729,35.273109,337.82,0.39,0.36,3/3/2021,1018,N,VIIRS,n,1,278.67,5.39,D,0
47.84301,35.271935,338.92,0.39,0.36,3/3/2021,1018,N,VIIRS,n,1,276.56,4.45,D,0
46.213837,32.196609,367,0.47,0.4,3/3/2021,1018,N,VIIRS,l,1,289.15,8.62,D,0
46.212643,32.190647,340.12,0.47,0.4,3/3/2021,1018,N,VIIRS,n,1,287.21,8.62,D,0
47.046986,35.890564,328.64,0.39,0.36,3/3/2021,1018,N,VIIRS,n,1,283.23,22.97,D,3
47.86969,33.451176,328.72,0.41,0.37,3/3/2021,1018,N,VIIRS,n,1,284.29,12.49,D,0
44.808941,33.644371,330.72,0.45,0.39,3/3/2021,1018,N,VIIRS,n,1,288.69,4.27,D,0
47.16024,37.560757,326.33,0.39,0.36,3/3/2021,1018,N,VIIRS,n,1,284.62,2.56,D,2
47.160973,37.565811,329.35,0.39,0.36,3/3/2021,1018,N,VIIRS,n,1,285.78,2.26,D,2
44.810566,33.641251,333.66,0.45,0.39,3/3/2021,1018,N,VIIRS,n,1,290.79,3.92,D,0
47.154396,37.567871,337.43,0.39,0.36,3/3/2021,1018,N,VIIRS,n,1,287.44,3.58,D,2
47.18306,37.718037,336.6,0.39,0.36,3/3/2021,1018,N,VIIRS,n,1,287.94,9.47,D,0
46.259483,34.317921,335.85,0.41,0.37,3/3/2021,1018,N,VIIRS,n,1,291.2,14.86,D,3
46.262836,34.316681,327.53,0.41,0.37,3/3/2021,1018,N,VIIRS,n,1,286.3,2.06,D,3
46.126633,32.97551,333.37,0.45,0.39,3/3/2021,1018,N,VIIRS,n,1,289.74,4.64,D,0
46.215031,32.202576,330.56,0.47,0.4,3/3/2021,1018,N,VIIRS,n,1,289.14,5.77,D,0
47.092236,37.605865,336.93,0.39,0.36,3/3/2021,1018,N,VIIRS,n,1,284.81,10.6,D,2
46.76363,35.643757,332.81,0.39,0.36,3/3/2021,1018,N,VIIRS,n,1,282.64,2.66,D,0
46.896858,36.80555,335.03,0.38,0.36,3/3/2021,1018,N,VIIRS,n,1,283.59,5.41,D,0
